epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
104,2964.44,0.9123,0.62173,1.17363,0.97446,0.98154,0.995,0.78965,0.68326,0.40589,1.18579,0.0003202,0.0003202,0.0003202
105,2992.93,0.91369,0.62405,1.17286,0.95135,0.95997,0.99167,0.81141,0.68001,0.43946,1.15108,0.0003136,0.0003136,0.0003136
106,3021.46,0.91326,0.64707,1.18172,0.96147,0.94741,0.98833,0.79217,0.72125,0.43304,1.17574,0.000307,0.000307,0.000307
107,3049.98,0.92359,0.64683,1.17898,0.97261,0.94772,0.99167,0.81415,0.66883,0.40265,1.13634,0.0003004,0.0003004,0.0003004
108,3078.5,0.90206,0.61415,1.1752,0.97579,0.95034,0.98333,0.81455,0.74098,0.42204,1.1858,0.0002938,0.0002938,0.0002938
109,3107,0.9086,0.6167,1.17416,0.96686,0.96606,0.99167,0.80393,0.75181,0.41425,1.19784,0.0002872,0.0002872,0.0002872
110,3135.49,0.90645,0.62969,1.17123,0.94791,0.97055,0.97833,0.79444,0.70626,0.4368,1.20413,0.0002806,0.0002806,0.0002806
111,3163.99,0.89428,0.60754,1.16982,0.96417,0.96848,0.98944,0.80574,0.67955,0.38326,1.1677,0.000274,0.000274,0.000274
112,3192.47,0.89567,0.59257,1.15592,0.97877,0.99901,0.995,0.82042,0.66343,0.3678,1.12084,0.0002674,0.0002674,0.0002674
113,3220.95,0.90216,0.59637,1.16855,0.96993,0.95105,0.99167,0.81369,0.76017,0.38297,1.18389,0.0002608,0.0002608,0.0002608
114,3249.44,0.89049,0.61262,1.17107,0.96104,0.94862,0.976,0.81225,0.66788,0.41357,1.13928,0.0002542,0.0002542,0.0002542
115,3277.93,0.8831,0.58666,1.16379,0.9587,0.95959,0.98833,0.80537,0.78817,0.41765,1.17774,0.0002476,0.0002476,0.0002476
116,3306.42,0.8581,0.55551,1.14219,0.93618,0.98127,0.99167,0.82592,0.68883,0.37787,1.13347,0.000241,0.000241,0.000241
117,3334.89,0.88698,0.57698,1.14854,0.94178,0.96864,0.99167,0.81515,0.71049,0.38463,1.13888,0.0002344,0.0002344,0.0002344
118,3363.37,0.87668,0.57899,1.15082,0.9339,0.98435,0.99167,0.8337,0.60586,0.35883,1.08017,0.0002278,0.0002278,0.0002278
119,3391.85,0.89748,0.58281,1.16805,0.97748,0.94385,0.99167,0.81678,0.6391,0.37004,1.12583,0.0002212,0.0002212,0.0002212
120,3420.31,0.86945,0.58407,1.14722,0.96992,0.981,0.995,0.83307,0.64675,0.36679,1.11942,0.0002146,0.0002146,0.0002146
121,3448.8,0.87445,0.6031,1.16026,0.975,0.96437,0.995,0.81971,0.65684,0.36844,1.13958,0.000208,0.000208,0.000208
122,3477.3,0.86492,0.57806,1.14334,0.97904,0.95728,0.99167,0.81711,0.64091,0.3521,1.13299,0.0002014,0.0002014,0.0002014
123,3505.79,0.87046,0.58819,1.14807,0.97472,0.9721,0.99167,0.82628,0.68503,0.35831,1.13659,0.0001948,0.0001948,0.0001948
124,3534.3,0.85635,0.56103,1.13921,0.98123,0.95381,0.99167,0.81759,0.68724,0.3575,1.11342,0.0001882,0.0001882,0.0001882
125,3563.91,0.84935,0.55379,1.13406,0.97141,0.95616,0.99167,0.83445,0.60907,0.36003,1.09778,0.0001816,0.0001816,0.0001816
126,3592.37,0.85814,0.58027,1.14054,0.97917,0.95516,0.99167,0.81444,0.66166,0.37978,1.12768,0.000175,0.000175,0.000175
127,3620.83,0.84988,0.57615,1.14265,0.94065,0.96057,0.98833,0.81175,0.63553,0.36236,1.11658,0.0001684,0.0001684,0.0001684
128,3649.28,0.84568,0.55983,1.14383,0.97658,0.95427,0.99167,0.82149,0.62193,0.34205,1.10451,0.0001618,0.0001618,0.0001618
129,3677.76,0.83484,0.54105,1.12317,0.96614,0.97239,0.99167,0.81339,0.63119,0.34917,1.09554,0.0001552,0.0001552,0.0001552
130,3706.27,0.85052,0.57115,1.13849,0.97768,0.95501,0.99167,0.80864,0.70043,0.36036,1.10851,0.0001486,0.0001486,0.0001486
131,3734.77,0.84547,0.55346,1.13318,0.97897,0.95631,0.99167,0.82174,0.62333,0.33325,1.09029,0.000142,0.000142,0.000142
132,3763.27,0.84026,0.55397,1.13046,0.97297,0.9529,0.99167,0.82904,0.59806,0.33834,1.09217,0.0001354,0.0001354,0.0001354
